timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260521_092205,a46,PHASE-PEAK-FUSION,,,,,58.7786,62.0968,60.3922,77.0,47.0,54.0,21.9025,124.0,131.0
20260521_092205,a47,PHASE-PEAK-FUSION,,,,,53.4722,58.7786,56.0,77.0,54.0,67.0,29.9449,131.0,144.0
20260521_092205,a48,PHASE-PEAK-FUSION,,,,,61.6541,63.5659,62.5954,82.0,47.0,51.0,22.3313,129.0,133.0
20260521_092205,a49,PHASE-PEAK-FUSION,,,,,94.5946,96.5517,95.5631,140.0,5.0,8.0,6.2925,145.0,148.0
20260521_092205,a50,PHASE-PEAK-FUSION,,,,,97.8873,97.8873,97.8873,139.0,3.0,3.0,3.4591,142.0,142.0
20260521_092205,a51,PHASE-PEAK-FUSION,,,,,51.8248,54.6154,53.1835,71.0,59.0,66.0,22.7265,130.0,137.0
20260521_092205,a52,PHASE-PEAK-FUSION,,,,,67.1756,64.7059,65.9176,88.0,48.0,43.0,26.5569,136.0,131.0
20260521_092205,a53,PHASE-PEAK-FUSION,,,,,33.3333,38.0597,35.5401,51.0,83.0,102.0,30.6801,134.0,153.0
20260521_092205,a54,PHASE-PEAK-FUSION,,,,,29.7297,8.7302,13.4969,11.0,115.0,26.0,40.2287,126.0,37.0
20260521_092205,a55,PHASE-PEAK-FUSION,,,,,25.1748,26.8657,25.9928,36.0,98.0,107.0,25.6412,134.0,143.0
20260521_092205,a56,PHASE-PEAK-FUSION,,,,,62.406,68.0328,65.098,83.0,39.0,50.0,23.095,122.0,133.0
20260521_092205,a57,PHASE-PEAK-FUSION,,,,,100.0,100.0,100.0,148.0,0.0,0.0,3.2552,148.0,148.0
20260521_092205,a58,PHASE-PEAK-FUSION,,,,,89.0511,89.7059,89.3773,122.0,14.0,15.0,10.0804,136.0,137.0
20260521_092205,a59,PHASE-PEAK-FUSION,,,,,99.3464,99.3464,99.3464,152.0,1.0,1.0,5.228,153.0,153.0
20260521_092205,a60,PHASE-PEAK-FUSION,,,,,38.5135,45.9677,41.9118,57.0,67.0,91.0,32.1715,124.0,148.0
20260521_092205,a61,PHASE-PEAK-FUSION,,,,,15.0,15.9091,15.4412,21.0,111.0,119.0,27.4909,132.0,140.0
20260521_092205,a62,PHASE-PEAK-FUSION,,,,,28.4722,30.3704,29.3907,41.0,94.0,103.0,23.6884,135.0,144.0
20260521_092205,a63,PHASE-PEAK-FUSION,,,,,84.058,86.5672,85.2941,116.0,18.0,22.0,11.6351,134.0,138.0
20260521_092205,a64,PHASE-PEAK-FUSION,,,,,83.8235,88.3721,86.0377,114.0,15.0,22.0,14.3589,129.0,136.0
20260521_092205,a65,PHASE-PEAK-FUSION,,,,,20.8333,22.0588,21.4286,30.0,106.0,114.0,22.7068,136.0,144.0
20260521_092205,a66,PHASE-PEAK-FUSION,,,,,18.4615,21.0526,19.6721,24.0,90.0,106.0,34.744,114.0,130.0
20260521_092205,a67,PHASE-PEAK-FUSION,,,,,31.8182,37.4046,34.386,49.0,82.0,105.0,26.7925,131.0,154.0
20260521_092205,a68,PHASE-PEAK-FUSION,,,,,100.0,99.2857,99.6416,139.0,1.0,0.0,4.3709,140.0,139.0
20260521_092205,a69,PHASE-PEAK-FUSION,,,,,42.953,52.459,47.2325,64.0,58.0,85.0,33.5305,122.0,149.0
20260521_092205,a70,PHASE-PEAK-FUSION,,,,,52.4823,59.6774,55.8491,74.0,50.0,67.0,27.3613,124.0,141.0
20260521_092205,a71,PHASE-PEAK-FUSION,,,,,37.2549,41.3043,39.1753,57.0,81.0,96.0,41.0095,138.0,153.0
20260521_092205,a72,PHASE-PEAK-FUSION,,,,,93.4132,98.1132,95.7055,156.0,3.0,11.0,7.8711,159.0,167.0
20260521_092205,a73,PHASE-PEAK-FUSION,,,,,35.2518,38.5827,36.8421,49.0,78.0,90.0,25.8565,127.0,139.0
20260521_092205,a74,PHASE-PEAK-FUSION,,,,,29.2857,33.0645,31.0606,41.0,83.0,99.0,29.1919,124.0,140.0
20260521_092205,a75,PHASE-PEAK-FUSION,,,,,92.5373,91.1765,91.8519,124.0,12.0,10.0,6.3019,136.0,134.0
