timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260521_080104,r01,PHASE-PEAK-FUSION,0.1457,98.3364,14.4672,0.2842,96.2733,90.9091,93.5143,620.0,62.0,24.0,12.8731,682.0,644.0
20260521_080104,r04,PHASE-PEAK-FUSION,0.0061,99.9301,25.4026,0.0388,91.2975,59.5459,72.08,577.0,392.0,55.0,76.6834,969.0,632.0
20260521_080104,r07,PHASE-PEAK-FUSION,0.0148,99.8299,27.5307,0.0841,96.9697,64.5435,77.5016,608.0,334.0,19.0,66.3199,942.0,627.0
20260521_080104,r08,PHASE-PEAK-FUSION,0.1014,98.8392,24.3266,0.3099,98.7711,98.0183,98.3933,643.0,13.0,8.0,3.3551,656.0,651.0
20260521_080104,r10,PHASE-PEAK-FUSION,0.0492,99.4349,29.024,0.2158,89.4819,60.1901,71.9697,570.0,377.0,67.0,74.3883,947.0,637.0
