timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,waveform_lag_samples
20260620_094408,a01,PHASE_cinc2013,,,,,17.931,89.6552,29.8851,26.0,3.0,119.0,3.1654,29.0,145.0,0.0
20260620_094408,a02,PHASE_cinc2013,,,,,21.25,26.9841,23.7762,34.0,92.0,126.0,34.881,126.0,160.0,0.0
20260620_094408,a03,PHASE_cinc2013,,,,,25.0,100.0,40.0,32.0,0.0,96.0,0.8646,32.0,128.0,0.0
20260620_094408,a04,PHASE_cinc2013,,,,,51.938,100.0,68.3673,67.0,0.0,62.0,0.8904,67.0,129.0,0.0
20260620_094408,a05,PHASE_cinc2013,,,,,13.1783,100.0,23.2877,17.0,0.0,112.0,0.9054,17.0,129.0,0.0
20260620_094408,a06,PHASE_cinc2013,,,,,2.5,66.6667,4.8193,4.0,2.0,156.0,25.3915,6.0,160.0,0.0
20260620_094408,a07,PHASE_cinc2013,,,,,2.3077,27.2727,4.2553,3.0,8.0,127.0,33.2964,11.0,130.0,0.0
20260620_094408,a08,PHASE_cinc2013,,,,,14.8437,100.0,25.8503,19.0,0.0,109.0,0.9651,19.0,128.0,0.0
20260620_094408,a10,PHASE_cinc2013,,,,,3.4286,28.5714,6.1224,6.0,15.0,169.0,32.2792,21.0,175.0,0.0
20260620_094408,a12,PHASE_cinc2013,,,,,12.3188,80.9524,21.3836,17.0,4.0,121.0,15.2035,21.0,138.0,0.0
20260620_094408,a13,PHASE_cinc2013,,,,,0.7937,16.6667,1.5152,1.0,5.0,125.0,43.81,6.0,126.0,0.0
20260620_094408,a14,PHASE_cinc2013,,,,,21.1382,83.871,33.7662,26.0,5.0,97.0,8.4199,31.0,123.0,0.0
20260620_094408,a15,PHASE_cinc2013,,,,,94.0299,99.2126,96.5517,126.0,1.0,8.0,4.2754,127.0,134.0,0.0
20260620_094408,a17,PHASE_cinc2013,,,,,99.2424,99.2424,99.2424,131.0,1.0,1.0,1.463,132.0,132.0,0.0
