timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,waveform_lag_samples
20260619_193221,a01,PHASE_cinc2013,,,,,59.3103,60.5634,59.9303,86.0,56.0,59.0,21.6521,142.0,145.0,0.0
20260619_193221,a02,PHASE_cinc2013,,,,,18.75,23.8095,20.979,30.0,96.0,130.0,34.9621,126.0,160.0,0.0
20260619_193221,a03,PHASE_cinc2013,,,,,94.5312,100.0,97.1888,121.0,0.0,7.0,5.7715,121.0,128.0,0.0
20260619_193221,a04,PHASE_cinc2013,,,,,96.124,100.0,98.0237,124.0,0.0,5.0,4.3522,124.0,129.0,0.0
20260619_193221,a05,PHASE_cinc2013,,,,,95.3488,100.0,97.619,123.0,0.0,6.0,4.7612,123.0,129.0,0.0
20260619_193221,a06,PHASE_cinc2013,,,,,18.75,25.4237,21.5827,30.0,88.0,130.0,45.8945,118.0,160.0,0.0
20260619_193221,a07,PHASE_cinc2013,,,,,26.9231,28.9256,27.8884,35.0,86.0,95.0,29.6756,121.0,130.0,0.0
20260619_193221,a08,PHASE_cinc2013,,,,,100.0,100.0,100.0,128.0,0.0,0.0,0.5457,128.0,128.0,0.0
20260619_193221,a09,PHASE_cinc2013,,,,,52.3077,56.1983,54.1833,68.0,53.0,62.0,24.1596,121.0,130.0,0.0
20260619_193221,a10,PHASE_cinc2013,,,,,34.2857,46.1538,39.3443,60.0,70.0,115.0,48.1077,130.0,175.0,0.0
20260619_193221,a11,PHASE_cinc2013,,,,,17.8571,23.5849,20.3252,25.0,81.0,115.0,40.9027,106.0,140.0,0.0
20260619_193221,a12,PHASE_cinc2013,,,,,94.9275,100.0,97.3978,131.0,0.0,7.0,6.6746,131.0,138.0,0.0
20260619_193221,a13,PHASE_cinc2013,,,,,95.2381,97.561,96.3855,120.0,3.0,6.0,5.6275,123.0,126.0,0.0
20260619_193221,a14,PHASE_cinc2013,,,,,91.8699,97.4138,94.5607,113.0,3.0,10.0,7.7766,116.0,123.0,0.0
20260619_193221,a15,PHASE_cinc2013,,,,,98.5075,100.0,99.2481,132.0,0.0,2.0,1.9394,132.0,134.0,0.0
20260619_193221,a16,PHASE_cinc2013,,,,,14.6154,17.757,16.0338,19.0,88.0,111.0,32.8359,107.0,130.0,0.0
20260619_193221,a17,PHASE_cinc2013,,,,,91.6667,99.1803,95.2756,121.0,1.0,11.0,7.4954,122.0,132.0,0.0
20260619_193221,a18,PHASE_cinc2013,,,,,11.3333,15.3153,13.0268,17.0,94.0,133.0,39.7583,111.0,150.0,0.0
20260619_193221,a19,PHASE_cinc2013,,,,,93.7008,98.3471,95.9677,119.0,2.0,8.0,7.2539,121.0,127.0,0.0
