timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,waveform_lag_samples
20260620_164324,a46,PHASE_cinc2013,,,,,86.2595,86.2595,86.2595,113.0,18.0,18.0,8.2407,131.0,131.0,0.0
20260620_164324,a47,PHASE_cinc2013,,,,,90.9722,91.6084,91.2892,131.0,12.0,13.0,10.0124,143.0,144.0,0.0
20260620_164324,a48,PHASE_cinc2013,,,,,94.7368,92.6471,93.6803,126.0,10.0,7.0,5.3425,136.0,133.0,0.0
20260620_164324,a49,PHASE_cinc2013,,,,,92.5676,93.8356,93.1973,137.0,9.0,11.0,3.6769,146.0,148.0,0.0
20260620_164324,a50,PHASE_cinc2013,,,,,97.8873,98.5816,98.2332,139.0,2.0,3.0,3.7097,141.0,142.0,0.0
20260620_164324,a51,PHASE_cinc2013,,,,,40.146,41.0448,40.5904,55.0,79.0,82.0,24.0614,134.0,137.0,0.0
20260620_164324,a52,PHASE_cinc2013,,,,,63.3588,64.8437,64.0927,83.0,45.0,48.0,28.9043,128.0,131.0,0.0
20260620_164324,a53,PHASE_cinc2013,,,,,69.9346,78.6765,74.0484,107.0,29.0,46.0,20.8895,136.0,153.0,0.0
20260620_164324,a54,PHASE_cinc2013,,,,,21.6216,6.1069,9.5238,8.0,123.0,29.0,29.7459,131.0,37.0,0.0
20260620_164324,a55,PHASE_cinc2013,,,,,97.2028,97.2028,97.2028,139.0,4.0,4.0,6.7186,143.0,143.0,0.0
20260620_164324,a56,PHASE_cinc2013,,,,,28.5714,28.5714,28.5714,38.0,95.0,95.0,24.2531,133.0,133.0,0.0
20260620_164324,a57,PHASE_cinc2013,,,,,100.0,100.0,100.0,148.0,0.0,0.0,3.1192,148.0,148.0,0.0
20260620_164324,a58,PHASE_cinc2013,,,,,89.781,96.0937,92.8302,123.0,5.0,14.0,8.731,128.0,137.0,0.0
20260620_164324,a59,PHASE_cinc2013,,,,,100.0,100.0,100.0,153.0,0.0,0.0,4.3558,153.0,153.0,0.0
20260620_164324,a60,PHASE_cinc2013,,,,,37.1622,47.0085,41.5094,55.0,62.0,93.0,39.4548,117.0,148.0,0.0
20260620_164324,a61,PHASE_cinc2013,,,,,94.2857,99.2481,96.7033,132.0,1.0,8.0,7.7682,133.0,140.0,0.0
20260620_164324,a62,PHASE_cinc2013,,,,,27.7778,29.4118,28.5714,40.0,96.0,104.0,23.6044,136.0,144.0,0.0
20260620_164324,a63,PHASE_cinc2013,,,,,94.2029,93.5252,93.8628,130.0,9.0,8.0,5.5329,139.0,138.0,0.0
20260620_164324,a64,PHASE_cinc2013,,,,,94.8529,98.4733,96.6292,129.0,2.0,7.0,6.8388,131.0,136.0,0.0
20260620_164324,a65,PHASE_cinc2013,,,,,21.5278,22.963,22.2222,31.0,104.0,113.0,22.7058,135.0,144.0,0.0
20260620_164324,a66,PHASE_cinc2013,,,,,91.5385,96.748,94.0711,119.0,4.0,11.0,6.8103,123.0,130.0,0.0
20260620_164324,a67,PHASE_cinc2013,,,,,85.0649,97.037,90.6574,131.0,4.0,23.0,15.746,135.0,154.0,0.0
20260620_164324,a68,PHASE_cinc2013,,,,,100.0,99.2857,99.6416,139.0,1.0,0.0,1.1003,140.0,139.0,0.0
20260620_164324,a69,PHASE_cinc2013,,,,,88.5906,100.0,93.9502,132.0,0.0,17.0,12.2558,132.0,149.0,0.0
20260620_164324,a70,PHASE_cinc2013,,,,,90.7801,98.4615,94.4649,128.0,2.0,13.0,9.4683,130.0,141.0,0.0
20260620_164324,a71,PHASE_cinc2013,,,,,30.0654,33.3333,31.6151,46.0,92.0,107.0,36.8583,138.0,153.0,0.0
20260620_164324,a72,PHASE_cinc2013,,,,,91.6168,100.0,95.625,153.0,0.0,14.0,12.4065,153.0,167.0,0.0
20260620_164324,a73,PHASE_cinc2013,,,,,22.3022,36.9048,27.8027,31.0,53.0,108.0,53.3387,84.0,139.0,0.0
20260620_164324,a74,PHASE_cinc2013,,,,,21.4286,21.1268,21.2766,30.0,112.0,110.0,25.9892,142.0,140.0,0.0
20260620_164324,a75,PHASE_cinc2013,,,,,93.2836,92.5926,92.9368,125.0,10.0,9.0,5.6411,135.0,134.0,0.0
