timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260422_094924,a01,PHASE_cinc2013,,,,,97.2414,97.2414,97.2414,141.0,4.0,4.0,7.4582,145.0,145.0
20260422_094924,a02,PHASE_cinc2013,,,,,21.875,27.5591,24.3902,35.0,92.0,125.0,34.6105,127.0,160.0
20260422_094924,a03,PHASE_cinc2013,,,,,67.9687,69.0476,68.5039,87.0,39.0,41.0,15.5236,126.0,128.0
20260422_094924,a04,PHASE_cinc2013,,,,,95.3488,97.619,96.4706,123.0,3.0,6.0,7.2624,126.0,129.0
20260422_094924,a05,PHASE_cinc2013,,,,,93.7984,96.0317,94.902,121.0,5.0,8.0,6.5415,126.0,129.0
20260422_094924,a06,PHASE_cinc2013,,,,,56.875,71.0937,63.1944,91.0,37.0,69.0,31.8872,128.0,160.0
20260422_094924,a07,PHASE_cinc2013,,,,,45.3846,52.2124,48.5597,59.0,54.0,71.0,28.718,113.0,130.0
20260422_094924,a08,PHASE_cinc2013,,,,,97.6562,97.6562,97.6562,125.0,3.0,3.0,4.0092,128.0,128.0
20260422_094924,a09,PHASE_cinc2013,,,,,26.1538,30.3571,28.0992,34.0,78.0,96.0,32.0177,112.0,130.0
20260422_094924,a10,PHASE_cinc2013,,,,,70.8571,82.1192,76.0736,124.0,27.0,51.0,22.5831,151.0,175.0
20260422_094924,a11,PHASE_cinc2013,,,,,58.5714,65.0794,61.6541,82.0,44.0,58.0,20.3003,126.0,140.0
20260422_094924,a12,PHASE_cinc2013,,,,,78.2609,80.597,79.4118,108.0,26.0,30.0,14.0051,134.0,138.0
20260422_094924,a13,PHASE_cinc2013,,,,,97.619,100.0,98.7952,123.0,0.0,3.0,2.9331,123.0,126.0
20260422_094924,a14,PHASE_cinc2013,,,,,69.1057,75.2212,72.0339,85.0,28.0,38.0,20.0037,113.0,123.0
20260422_094924,a15,PHASE_cinc2013,,,,,97.7612,97.7612,97.7612,131.0,3.0,3.0,4.6641,134.0,134.0
20260422_094924,a16,PHASE_cinc2013,,,,,16.1538,19.8113,17.7966,21.0,85.0,109.0,32.4323,106.0,130.0
20260422_094924,a17,PHASE_cinc2013,,,,,92.4242,94.5736,93.4866,122.0,7.0,10.0,5.6716,129.0,132.0
20260422_094924,a18,PHASE_cinc2013,,,,,12.0,15.1261,13.3829,18.0,101.0,132.0,34.9011,119.0,150.0
