timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,waveform_lag_samples
20260618_174425,a01,PHASE_cinc2013,,,,,91.0345,91.6667,91.3495,132.0,12.0,13.0,8.3479,144.0,145.0,0.0
20260618_174425,a02,PHASE_cinc2013,,,,,20.0,25.3968,22.3776,32.0,94.0,128.0,34.9102,126.0,160.0,0.0
20260618_174425,a03,PHASE_cinc2013,,,,,92.9687,100.0,96.3563,119.0,0.0,9.0,6.4326,119.0,128.0,0.0
20260618_174425,a04,PHASE_cinc2013,,,,,95.3488,100.0,97.619,123.0,0.0,6.0,5.0802,123.0,129.0,0.0
20260618_174425,a06,PHASE_cinc2013,,,,,21.25,31.1927,25.2788,34.0,75.0,126.0,53.624,109.0,160.0,0.0
20260618_174425,a07,PHASE_cinc2013,,,,,18.4615,21.4286,19.8347,24.0,88.0,106.0,32.8679,112.0,130.0,0.0
20260618_174425,a08,PHASE_cinc2013,,,,,98.4375,98.4375,98.4375,126.0,2.0,2.0,2.9934,128.0,128.0,0.0
20260618_174425,a09,PHASE_cinc2013,,,,,16.1538,21.4286,18.4211,21.0,77.0,109.0,33.6565,98.0,130.0,0.0
20260618_174425,a10,PHASE_cinc2013,,,,,36.5714,49.2308,41.9672,64.0,66.0,111.0,47.2386,130.0,175.0,0.0
20260618_174425,a11,PHASE_cinc2013,,,,,20.7143,25.8929,23.0159,29.0,83.0,111.0,37.3567,112.0,140.0,0.0
20260618_174425,a12,PHASE_cinc2013,,,,,95.6522,99.2481,97.417,132.0,1.0,6.0,4.1496,133.0,138.0,0.0
20260618_174425,a13,PHASE_cinc2013,,,,,92.8571,97.5,95.122,117.0,3.0,9.0,5.4072,120.0,126.0,0.0
20260618_174425,a14,PHASE_cinc2013,,,,,90.2439,96.5217,93.2773,111.0,4.0,12.0,8.7678,115.0,123.0,0.0
20260618_174425,a15,PHASE_cinc2013,,,,,98.5075,100.0,99.2481,132.0,0.0,2.0,2.222,132.0,134.0,0.0
20260618_174425,a16,PHASE_cinc2013,,,,,13.0769,21.7949,16.3462,17.0,61.0,113.0,52.2593,78.0,130.0,0.0
20260618_174425,a17,PHASE_cinc2013,,,,,91.6667,99.1803,95.2756,121.0,1.0,11.0,7.9434,122.0,132.0,0.0
