timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260617_161240,a01,PHASE_cinc2013,,,,,97.931,98.6111,98.2699,142.0,2.0,3.0,6.5446,144.0,145.0
20260617_161240,a02,PHASE_cinc2013,,,,,19.375,24.6032,21.6783,31.0,95.0,129.0,34.8938,126.0,160.0
20260617_161240,a03,PHASE_cinc2013,,,,,67.1875,67.7165,67.451,86.0,41.0,42.0,18.3176,127.0,128.0
20260617_161240,a04,PHASE_cinc2013,,,,,96.124,100.0,98.0237,124.0,0.0,5.0,4.1413,124.0,129.0
20260617_161240,a05,PHASE_cinc2013,,,,,93.7984,96.8,95.2756,121.0,4.0,8.0,5.5401,125.0,129.0
20260617_161240,a06,PHASE_cinc2013,,,,,21.875,30.9735,25.641,35.0,78.0,125.0,49.7156,113.0,160.0
20260617_161240,a07,PHASE_cinc2013,,,,,16.1538,21.2121,18.3406,21.0,78.0,109.0,39.6441,99.0,130.0
20260617_161240,a08,PHASE_cinc2013,,,,,96.0937,100.0,98.008,123.0,0.0,5.0,3.5633,123.0,128.0
20260617_161240,a09,PHASE_cinc2013,,,,,24.6154,28.3186,26.3374,32.0,81.0,98.0,31.1424,113.0,130.0
20260617_161240,a10,PHASE_cinc2013,,,,,70.2857,82.5503,75.9259,123.0,26.0,52.0,23.9043,149.0,175.0
20260617_161240,a11,PHASE_cinc2013,,,,,26.4286,31.3559,28.6822,37.0,81.0,103.0,32.6598,118.0,140.0
20260617_161240,a12,PHASE_cinc2013,,,,,23.913,26.1905,25.0,33.0,93.0,105.0,26.2834,126.0,138.0
20260617_161240,a13,PHASE_cinc2013,,,,,100.0,100.0,100.0,126.0,0.0,0.0,1.0844,126.0,126.0
20260617_161240,a14,PHASE_cinc2013,,,,,25.2033,28.1818,26.6094,31.0,79.0,92.0,26.0092,110.0,123.0
20260617_161240,a15,PHASE_cinc2013,,,,,94.7761,99.2187,96.9466,127.0,1.0,7.0,4.8125,128.0,134.0
20260617_161240,a16,PHASE_cinc2013,,,,,18.4615,25.5319,21.4286,24.0,70.0,106.0,41.156,94.0,130.0
20260617_161240,a17,PHASE_cinc2013,,,,,91.6667,98.374,94.902,121.0,2.0,11.0,7.8648,123.0,132.0
20260617_161240,a18,PHASE_cinc2013,,,,,15.3333,20.7207,17.6245,23.0,88.0,127.0,39.6822,111.0,150.0
20260617_161240,a19,PHASE_cinc2013,,,,,94.4882,100.0,97.166,120.0,0.0,7.0,6.7267,120.0,127.0
20260617_161240,a20,PHASE_cinc2013,,,,,94.6565,96.875,95.7529,124.0,4.0,7.0,4.781,128.0,131.0
20260617_161240,a21,PHASE_cinc2013,,,,,76.5517,80.4348,78.4452,111.0,27.0,34.0,13.382,138.0,145.0
20260617_161240,a22,PHASE_cinc2013,,,,,94.4444,100.0,97.1429,119.0,0.0,7.0,5.0928,119.0,126.0
20260617_161240,a23,PHASE_cinc2013,,,,,97.619,99.1935,98.4,123.0,1.0,3.0,2.4189,124.0,126.0
20260617_161240,a24,PHASE_cinc2013,,,,,96.748,100.0,98.3471,119.0,0.0,4.0,3.583,119.0,123.0
20260617_161240,a25,PHASE_cinc2013,,,,,96.0,100.0,97.9592,120.0,0.0,5.0,5.322,120.0,125.0
20260617_161240,a26,PHASE_cinc2013,,,,,79.7101,79.1367,79.4224,110.0,29.0,28.0,11.6122,139.0,138.0
20260617_161240,a27,PHASE_cinc2013,,,,,77.037,78.7879,77.9026,104.0,28.0,31.0,13.1376,132.0,135.0
20260617_161240,a28,PHASE_cinc2013,,,,,28.1437,41.9643,33.6918,47.0,65.0,120.0,59.2685,112.0,167.0
20260617_161240,a29,PHASE_cinc2013,,,,,60.6299,62.0968,61.3546,77.0,47.0,50.0,21.9202,124.0,127.0
20260617_161240,a30,PHASE_cinc2013,,,,,35.0,44.5455,39.2,49.0,61.0,91.0,34.6446,110.0,140.0
20260617_161240,a31,PHASE_cinc2013,,,,,28.4672,28.8889,28.6765,39.0,96.0,98.0,24.0203,135.0,137.0
20260617_161240,a32,PHASE_cinc2013,,,,,100.0,100.0,100.0,152.0,0.0,0.0,4.1657,152.0,152.0
20260617_161240,a33,PHASE_cinc2013,,,,,73.5714,76.8657,75.1825,103.0,31.0,37.0,19.2999,134.0,140.0
20260617_161240,a34,PHASE_cinc2013,,,,,76.3359,78.125,77.2201,100.0,28.0,31.0,15.5334,128.0,131.0
20260617_161240,a35,PHASE_cinc2013,,,,,36.8098,51.2821,42.8571,60.0,57.0,103.0,48.9237,117.0,163.0
20260617_161240,a36,PHASE_cinc2013,,,,,32.1429,47.3684,38.2979,54.0,60.0,114.0,56.0989,114.0,168.0
20260617_161240,a37,PHASE_cinc2013,,,,,88.0282,89.9281,88.968,125.0,14.0,17.0,10.0307,139.0,142.0
20260617_161240,a38,PHASE_cinc2013,,,,,73.8854,79.4521,76.5677,116.0,30.0,41.0,24.3,146.0,157.0
20260617_161240,a39,PHASE_cinc2013,,,,,76.2963,81.1024,78.626,103.0,24.0,32.0,14.0768,127.0,135.0
20260617_161240,a40,PHASE_cinc2013,,,,,87.1622,94.1606,90.5263,129.0,8.0,19.0,11.5083,137.0,148.0
20260617_161240,a41,PHASE_cinc2013,,,,,84.5588,92.7419,88.4615,115.0,9.0,21.0,13.676,124.0,136.0
20260617_161240,a42,PHASE_cinc2013,,,,,25.1656,28.3582,26.6667,38.0,96.0,113.0,25.4733,134.0,151.0
20260617_161240,a43,PHASE_cinc2013,,,,,98.7342,100.0,99.3631,156.0,0.0,2.0,5.1221,156.0,158.0
