timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260515_185314,a49,PHASE_cinc2013,,,,,95.9459,96.5986,96.2712,142.0,5.0,6.0,4.7649,147.0,148.0
20260515_185314,a50,PHASE_cinc2013,,,,,97.1831,97.8723,97.5265,138.0,3.0,4.0,3.5714,141.0,142.0
20260515_185314,a51,PHASE_cinc2013,,,,,32.1168,33.5878,32.8358,44.0,87.0,93.0,27.6323,131.0,137.0
20260515_185314,a52,PHASE_cinc2013,,,,,59.542,61.4173,60.4651,78.0,49.0,53.0,27.5288,127.0,131.0
20260515_185314,a53,PHASE_cinc2013,,,,,90.1961,98.5714,94.198,138.0,2.0,15.0,11.7232,140.0,153.0
20260515_185314,a54,PHASE_cinc2013,,,,,24.3243,7.0866,10.9756,9.0,118.0,28.0,31.4351,127.0,37.0
20260515_185314,a55,PHASE_cinc2013,,,,,93.007,93.662,93.3333,133.0,9.0,10.0,7.52,142.0,143.0
20260515_185314,a56,PHASE_cinc2013,,,,,27.8195,29.3651,28.5714,37.0,89.0,96.0,24.7727,126.0,133.0
20260515_185314,a57,PHASE_cinc2013,,,,,99.3243,100.0,99.661,147.0,0.0,1.0,2.0761,147.0,148.0
20260515_185314,a58,PHASE_cinc2013,,,,,86.8613,93.7008,90.1515,119.0,8.0,18.0,9.541,127.0,137.0
20260515_185314,a59,PHASE_cinc2013,,,,,98.0392,99.3377,98.6842,150.0,1.0,3.0,3.1165,151.0,153.0
20260515_185314,a60,PHASE_cinc2013,,,,,47.2973,53.4351,50.1792,70.0,61.0,78.0,26.2703,131.0,148.0
20260515_185314,a61,PHASE_cinc2013,,,,,92.8571,97.0149,94.8905,130.0,4.0,10.0,9.1497,134.0,140.0
20260515_185314,a62,PHASE_cinc2013,,,,,30.5556,34.1085,32.2344,44.0,85.0,100.0,24.1254,129.0,144.0
20260515_185314,a63,PHASE_cinc2013,,,,,84.7826,89.313,86.9888,117.0,14.0,21.0,11.4479,131.0,138.0
20260515_185314,a64,PHASE_cinc2013,,,,,96.3235,96.3235,96.3235,131.0,5.0,5.0,4.035,136.0,136.0
20260515_185314,a65,PHASE_cinc2013,,,,,22.9167,24.812,23.8267,33.0,100.0,111.0,24.6316,133.0,144.0
20260515_185314,a66,PHASE_cinc2013,,,,,22.3077,22.6562,22.4806,29.0,99.0,101.0,21.808,128.0,130.0
20260515_185314,a67,PHASE_cinc2013,,,,,74.026,88.3721,80.5654,114.0,15.0,40.0,22.8887,129.0,154.0
20260515_185314,a68,PHASE_cinc2013,,,,,99.2806,98.5714,98.9247,138.0,2.0,1.0,2.0288,140.0,139.0
20260515_185314,a69,PHASE_cinc2013,,,,,64.4295,70.073,67.1329,96.0,41.0,53.0,18.8707,137.0,149.0
20260515_185314,a70,PHASE_cinc2013,,,,,93.617,97.0588,95.3069,132.0,4.0,9.0,7.7023,136.0,141.0
20260515_185314,a71,PHASE_cinc2013,,,,,36.6013,42.4242,39.2982,56.0,76.0,97.0,41.4025,132.0,153.0
20260515_185314,a72,PHASE_cinc2013,,,,,94.6108,98.75,96.6361,158.0,2.0,9.0,7.2316,160.0,167.0
20260515_185314,a73,PHASE_cinc2013,,,,,29.4964,32.0312,30.7116,41.0,87.0,98.0,23.7576,128.0,139.0
20260515_185314,a74,PHASE_cinc2013,,,,,31.4286,33.0827,32.2344,44.0,89.0,96.0,26.0743,133.0,140.0
20260515_185314,a75,PHASE_cinc2013,,,,,91.791,91.1111,91.4498,123.0,12.0,11.0,6.8138,135.0,134.0
