timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,waveform_lag_samples
20260619_064854,a01,PHASE_cinc2013,,,,,38.6207,44.0945,41.1765,56.0,71.0,89.0,35.1765,127.0,145.0,0.0
20260619_064854,a02,PHASE_cinc2013,,,,,20.0,25.3968,22.3776,32.0,94.0,128.0,34.9276,126.0,160.0,0.0
20260619_064854,a03,PHASE_cinc2013,,,,,93.75,100.0,96.7742,120.0,0.0,8.0,5.4735,120.0,128.0,0.0
20260619_064854,a04,PHASE_cinc2013,,,,,99.2248,98.4615,98.8417,128.0,2.0,1.0,2.2927,130.0,129.0,0.0
20260619_064854,a05,PHASE_cinc2013,,,,,98.4496,99.2187,98.8327,127.0,1.0,2.0,2.255,128.0,129.0,0.0
20260619_064854,a06,PHASE_cinc2013,,,,,23.125,32.7434,27.1062,37.0,76.0,123.0,47.7448,113.0,160.0,0.0
20260619_064854,a08,PHASE_cinc2013,,,,,99.2187,99.2187,99.2187,127.0,1.0,1.0,0.5443,128.0,128.0,0.0
20260619_064854,a09,PHASE_cinc2013,,,,,18.4615,24.4898,21.0526,24.0,74.0,106.0,33.7118,98.0,130.0,0.0
20260619_064854,a10,PHASE_cinc2013,,,,,34.2857,46.1538,39.3443,60.0,70.0,115.0,48.3433,130.0,175.0,0.0
20260619_064854,a11,PHASE_cinc2013,,,,,17.8571,23.8095,20.4082,25.0,80.0,115.0,39.8351,105.0,140.0,0.0
20260619_064854,a12,PHASE_cinc2013,,,,,94.2029,99.2366,96.6543,130.0,1.0,8.0,5.5095,131.0,138.0,0.0
20260619_064854,a13,PHASE_cinc2013,,,,,94.4444,100.0,97.1429,119.0,0.0,7.0,5.0652,119.0,126.0,0.0
20260619_064854,a14,PHASE_cinc2013,,,,,91.0569,98.2456,94.5148,112.0,2.0,11.0,8.0634,114.0,123.0,0.0
20260619_064854,a15,PHASE_cinc2013,,,,,99.2537,99.2537,99.2537,133.0,1.0,1.0,1.1984,134.0,134.0,0.0
20260619_064854,a16,PHASE_cinc2013,,,,,16.9231,20.1835,18.41,22.0,87.0,108.0,32.939,109.0,130.0,0.0
20260619_064854,a17,PHASE_cinc2013,,,,,100.0,100.0,100.0,132.0,0.0,0.0,1.6054,132.0,132.0,0.0
20260619_064854,a18,PHASE_cinc2013,,,,,16.6667,22.5225,19.1571,25.0,86.0,125.0,39.7108,111.0,150.0,0.0
20260619_064854,a19,PHASE_cinc2013,,,,,94.4882,99.1736,96.7742,120.0,1.0,7.0,5.2717,121.0,127.0,0.0
20260619_064854,a20,PHASE_cinc2013,,,,,92.3664,98.374,95.2756,121.0,2.0,10.0,7.3948,123.0,131.0,0.0
20260619_064854,a21,PHASE_cinc2013,,,,,33.1034,38.7097,35.6877,48.0,76.0,97.0,31.9536,124.0,145.0,0.0
20260619_064854,a22,PHASE_cinc2013,,,,,100.0,100.0,100.0,126.0,0.0,0.0,1.177,126.0,126.0,0.0
20260619_064854,a23,PHASE_cinc2013,,,,,98.4127,99.2,98.8048,124.0,1.0,2.0,1.7132,125.0,126.0,0.0
20260619_064854,a24,PHASE_cinc2013,,,,,98.374,100.0,99.1803,121.0,0.0,2.0,2.0464,121.0,123.0,0.0
20260619_064854,a25,PHASE_cinc2013,,,,,92.8,100.0,96.2656,116.0,0.0,9.0,6.3063,116.0,125.0,0.0
20260619_064854,a26,PHASE_cinc2013,,,,,88.4058,90.3704,89.3773,122.0,13.0,16.0,8.3447,135.0,138.0,0.0
20260619_064854,a27,PHASE_cinc2013,,,,,56.2963,57.1429,56.7164,76.0,57.0,59.0,21.3489,133.0,135.0,0.0
20260619_064854,a28,PHASE_cinc2013,,,,,88.6228,99.3289,93.6709,148.0,1.0,19.0,14.4483,149.0,167.0,0.0
20260619_064854,a29,PHASE_cinc2013,,,,,30.7087,28.4672,29.5455,39.0,98.0,88.0,23.0762,137.0,127.0,0.0
20260619_064854,a30,PHASE_cinc2013,,,,,45.0,46.3235,45.6522,63.0,73.0,77.0,23.9056,136.0,140.0,0.0
20260619_064854,a31,PHASE_cinc2013,,,,,86.1314,88.7218,87.4074,118.0,15.0,19.0,10.8881,133.0,137.0,0.0
20260619_064854,a32,PHASE_cinc2013,,,,,100.0,100.0,100.0,152.0,0.0,0.0,0.5821,152.0,152.0,0.0
20260619_064854,a33,PHASE_cinc2013,,,,,94.2857,91.6667,92.9577,132.0,12.0,8.0,6.3886,144.0,140.0,0.0
20260619_064854,a34,PHASE_cinc2013,,,,,48.855,47.0588,47.9401,64.0,72.0,67.0,21.2646,136.0,131.0,0.0
20260619_064854,a35,PHASE_cinc2013,,,,,88.3436,98.6301,93.2039,144.0,2.0,19.0,16.0636,146.0,163.0,0.0
20260619_064854,a36,PHASE_cinc2013,,,,,86.9048,98.6486,92.4051,146.0,2.0,22.0,16.3624,148.0,168.0,0.0
20260619_064854,a37,PHASE_cinc2013,,,,,32.3944,33.3333,32.8571,46.0,92.0,96.0,25.4227,138.0,142.0,0.0
20260619_064854,a38,PHASE_cinc2013,,,,,72.6115,78.0822,75.2475,114.0,32.0,43.0,23.599,146.0,157.0,0.0
20260619_064854,a39,PHASE_cinc2013,,,,,22.963,22.3022,22.6277,31.0,108.0,104.0,24.1332,139.0,135.0,0.0
20260619_064854,a40,PHASE_cinc2013,,,,,22.973,25.9542,24.3728,34.0,97.0,114.0,27.8521,131.0,148.0,0.0
20260619_064854,a41,PHASE_cinc2013,,,,,85.2941,92.0635,88.5496,116.0,10.0,20.0,12.766,126.0,136.0,0.0
20260619_064854,a42,PHASE_cinc2013,,,,,90.0662,97.8417,93.7931,136.0,3.0,15.0,12.4577,139.0,151.0,0.0
20260619_064854,a43,PHASE_cinc2013,,,,,100.0,100.0,100.0,158.0,0.0,0.0,0.4611,158.0,158.0,0.0
20260619_064854,a44,PHASE_cinc2013,,,,,73.6196,99.1736,84.507,120.0,1.0,43.0,20.9472,121.0,163.0,0.0
20260619_064854,a45,PHASE_cinc2013,,,,,92.1429,90.8451,91.4894,129.0,13.0,11.0,6.7137,142.0,140.0,0.0
20260619_064854,a46,PHASE_cinc2013,,,,,30.5344,29.6296,30.0752,40.0,95.0,91.0,27.7057,135.0,131.0,0.0
20260619_064854,a47,PHASE_cinc2013,,,,,86.8056,87.4126,87.108,125.0,18.0,19.0,12.0291,143.0,144.0,0.0
20260619_064854,a48,PHASE_cinc2013,,,,,92.4812,89.781,91.1111,123.0,14.0,10.0,5.0276,137.0,133.0,0.0
20260619_064854,a49,PHASE_cinc2013,,,,,92.5676,93.8356,93.1973,137.0,9.0,11.0,4.3351,146.0,148.0,0.0
