timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,mean_fhr_bpm,std_fhr_bpm,pct_in_range,pct_smooth,fhr_plausible,SNR_before_dB,SNR_after_dB,delta_SNR_dB
20260423_135519,a50,PHASE_cinc2013,,,,,97.8873,97.8873,97.8873,139.0,3.0,3.0,3.7213,142.0,142.0,142.07,10.85,98.58,93.57,1.0,1.4534,-5.2597,-6.7131
20260423_135519,a51,PHASE_cinc2013,,,,,57.6642,59.8485,58.7361,79.0,53.0,58.0,22.0334,132.0,137.0,139.67,31.95,76.34,37.69,0.0,2.7692,-2.0101,-4.7792
20260423_135519,a52,PHASE_cinc2013,,,,,67.1756,65.1852,66.1654,88.0,47.0,43.0,25.9368,135.0,131.0,140.04,27.4,85.82,59.4,0.0,16.3404,15.8987,-0.4416
20260423_135519,a53,PHASE_cinc2013,,,,,79.085,84.6154,81.7568,121.0,22.0,32.0,16.3206,143.0,153.0,147.59,23.11,91.55,70.21,1.0,6.1727,4.1883,-1.9844
20260423_135519,a54,PHASE_cinc2013,,,,,32.4324,9.2308,14.3713,12.0,118.0,25.0,35.7626,130.0,37.0,141.15,37.12,67.44,37.5,0.0,18.031,17.8358,-0.1952
20260423_135519,a55,PHASE_cinc2013,,,,,24.4755,26.3158,25.3623,35.0,98.0,108.0,25.4581,133.0,143.0,143.46,37.11,65.91,35.11,0.0,0.5207,-14.7996,-15.3203
20260423_135519,a56,PHASE_cinc2013,,,,,33.8346,36.0,34.8837,45.0,80.0,88.0,30.3927,125.0,133.0,135.59,39.11,53.23,41.46,0.0,13.8651,13.4111,-0.4541
20260423_135519,a57,PHASE_cinc2013,,,,,100.0,100.0,100.0,148.0,0.0,0.0,3.2985,148.0,148.0,148.32,5.22,100.0,100.0,1.0,5.3218,2.8455,-2.4764
20260423_135519,a58,PHASE_cinc2013,,,,,34.3066,36.4341,35.3383,47.0,82.0,90.0,27.9964,129.0,137.0,140.65,37.81,64.84,35.43,0.0,2.0867,-3.6083,-5.6951
20260423_135519,a59,PHASE_cinc2013,,,,,99.3464,99.3464,99.3464,152.0,1.0,1.0,5.819,153.0,153.0,153.88,10.35,99.34,95.36,1.0,0.5911,-11.3905,-11.9816
20260423_135519,a60,PHASE_cinc2013,,,,,20.9459,33.3333,25.7261,31.0,62.0,117.0,57.4792,93.0,148.0,108.81,43.76,36.96,47.25,0.0,3.1366,-1.5413,-4.6779
20260423_135519,a61,PHASE_cinc2013,,,,,22.1429,22.7941,22.4638,31.0,105.0,109.0,25.7607,136.0,140.0,144.85,34.24,72.59,41.04,0.0,2.8773,-1.4383,-4.3156
20260423_135519,a62,PHASE_cinc2013,,,,,27.0833,28.6765,27.8571,39.0,97.0,105.0,23.5902,136.0,144.0,144.04,34.02,68.89,39.55,0.0,2.8366,-1.8634,-4.7
20260423_135519,a63,PHASE_cinc2013,,,,,87.6812,88.3212,88.0,121.0,16.0,17.0,8.692,137.0,138.0,139.66,19.44,91.18,74.81,1.0,2.3251,-2.5396,-4.8648
20260423_135519,a64,PHASE_cinc2013,,,,,69.8529,74.2187,71.9697,95.0,33.0,41.0,19.6986,128.0,136.0,136.04,30.96,73.23,57.94,0.0,2.4734,-2.1181,-4.5915
20260423_135519,a65,PHASE_cinc2013,,,,,21.5278,22.7941,22.1429,31.0,105.0,113.0,22.8849,136.0,144.0,142.83,31.6,80.0,45.52,0.0,1.1602,-7.5073,-8.6675
20260423_135519,a66,PHASE_cinc2013,,,,,19.2308,21.1864,20.1613,25.0,93.0,105.0,32.2762,118.0,130.0,129.62,42.62,28.21,62.93,0.0,5.2112,2.7757,-2.4355
20260423_135519,a67,PHASE_cinc2013,,,,,38.3117,41.844,40.0,59.0,82.0,95.0,26.5998,141.0,154.0,150.0,33.29,75.0,44.6,0.0,5.6197,3.7668,-1.8529
20260423_135519,a68,PHASE_cinc2013,,,,,100.0,99.2857,99.6416,139.0,1.0,0.0,4.5693,140.0,139.0,140.66,9.73,100.0,99.28,1.0,0.6529,-10.7952,-11.4481
20260423_135519,a69,PHASE_cinc2013,,,,,64.4295,68.5714,66.436,96.0,44.0,53.0,20.5134,140.0,149.0,147.25,29.93,76.26,60.87,0.0,13.107,12.7462,-0.3608
20260423_135519,a70,PHASE_cinc2013,,,,,92.9078,96.3235,94.5848,131.0,5.0,10.0,7.2016,136.0,141.0,138.5,17.88,95.56,83.58,1.0,1.8084,-4.6626,-6.471
20260423_135519,a71,PHASE_cinc2013,,,,,36.6013,40.2878,38.3562,56.0,83.0,97.0,37.9881,139.0,153.0,146.62,32.82,78.26,36.5,0.0,1.8049,-3.8966,-5.7014
20260423_135519,a72,PHASE_cinc2013,,,,,85.0299,91.6129,88.1988,142.0,13.0,25.0,13.0313,155.0,167.0,160.49,24.35,89.61,81.7,1.0,5.9303,3.7446,-2.1856
20260423_135519,a73,PHASE_cinc2013,,,,,39.5683,42.3077,40.8922,55.0,75.0,84.0,26.0746,130.0,139.0,138.45,34.1,65.12,46.88,0.0,13.0423,12.6607,-0.3815
20260423_135519,a74,PHASE_cinc2013,,,,,20.0,21.5385,20.7407,28.0,102.0,112.0,25.7246,130.0,140.0,140.33,34.97,71.32,35.94,0.0,2.103,-3.686,-5.789
20260423_135519,a75,PHASE_cinc2013,,,,,90.2985,89.6296,89.9628,121.0,14.0,13.0,6.4122,135.0,134.0,135.95,15.6,95.52,81.95,1.0,2.3131,-2.5462,-4.8593
