timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,path_c_enabled,path_c_selected_ic_index,path_c_selected_ic_hr_bpm,path_c_selected_ic_is_valid,path_c_selected_ic_stability,path_c_selected_ic_score,path_c_template_energy_reduction_pct,path_c_template_n_beats,sqi_fusion_enabled,chosen_sqi,periodicity_score_enabled,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,path_disagreement_bpm,expected_fhr_prior_bpm,expected_fhr_prior_confidence,harmonic_confusion,sparse_annotation,ekf_used,ekf_use_rts,final_peak_count,final_hr_bpm
20260707_215446,r01,PHASE_adfecgdb_metadata,3.0,2.0,1.0,621.0,126.8843,1.0,0.4,0.912,1.0,0.0,129.1187,1.0,0.4,1.5473,80.0043,412.0,1.0,0.5403,1.0,C_TemplateSub_ICA3_IC1_129bpm,0.0,129.1187,644.0,1.5473,0.4,0.0,0.05,2.2344,120.8496,1.2911,0.0,0.0,1.0,1.0,644.0,129.0886
20260707_215446,r04,PHASE_adfecgdb_metadata,3.0,2.0,0.0,546.0,123.0285,1.0,0.4001,0.3443,1.0,1.0,126.165,1.0,0.4007,0.7319,85.7599,434.0,1.0,0.5563,1.0,C_TemplateSub_ICA3_IC2_126bpm,1.0,126.165,626.0,0.7319,0.4007,0.0,0.05,3.1365,159.3018,2.9828,0.0,0.0,1.0,1.0,626.0,126.1654
20260707_215446,r07,PHASE_adfecgdb_metadata,3.0,2.0,0.0,565.0,124.7873,1.0,0.4001,0.3108,1.0,1.0,125.2768,1.0,0.4002,0.9257,85.17,401.0,1.0,0.5619,1.0,C_TemplateSub_ICA3_IC2_125bpm,1.0,125.2768,624.0,0.9257,0.4002,0.0,0.05,0.4895,179.4434,3.2384,0.0,0.0,1.0,1.0,624.0,125.2748
20260707_215446,r08,PHASE_adfecgdb_metadata,3.0,2.0,1.0,650.0,130.6931,1.0,0.6,1.1754,1.0,2.0,130.6489,1.0,1.0,1.7817,71.7912,410.0,1.0,0.5723,1.0,C_TemplateSub_ICA3_IC3_131bpm,2.0,130.6489,651.0,1.7817,1.0,0.0,0.05,0.0441,124.5117,1.7343,0.0,0.0,1.0,1.0,651.0,130.649
20260707_215446,r10,PHASE_adfecgdb_metadata,3.0,2.0,0.0,478.0,111.8241,1.0,1.0,0.4532,1.0,1.0,132.2233,1.0,0.4002,1.3137,88.8923,458.0,1.0,0.6684,1.0,C_TemplateSub_ICA3_IC2_132bpm,1.0,132.2233,654.0,1.3137,0.4002,1.0,0.05,20.3992,109.8633,12.3579,0.0,0.0,1.0,1.0,654.0,132.2224
