timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260624_162857,r01,PHASE_adfecgdb,0.1458,98.335,14.467,0.2792,89.441,93.2039,91.2837,576.0,42.0,68.0,7.4188,618.0,644.0
20260624_162857,r04,PHASE_adfecgdb,-0.0054,100.0626,25.4362,0.0037,89.557,99.2982,94.1764,566.0,4.0,66.0,9.1673,570.0,632.0
20260624_162857,r07,PHASE_adfecgdb,0.0083,99.905,27.5514,0.0443,93.3014,98.1544,95.6664,585.0,11.0,42.0,5.741,596.0,627.0
20260624_162857,r08,PHASE_adfecgdb,0.0883,98.988,24.3633,0.2706,96.1598,97.8125,96.9791,626.0,14.0,25.0,3.8106,640.0,651.0
20260624_162857,r10,PHASE_adfecgdb,0.0574,99.341,28.9966,0.2107,83.3595,91.7098,87.3355,531.0,48.0,106.0,15.1942,579.0,637.0
