timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260623_190256,a01,PHASE_cinc2013,,,,,91.0345,91.6667,91.3495,132.0,12.0,13.0,8.3479,144.0,145.0
20260623_190256,a02,PHASE_cinc2013,,,,,20.0,25.3968,22.3776,32.0,94.0,128.0,34.9097,126.0,160.0
20260623_190256,a03,PHASE_cinc2013,,,,,92.9687,100.0,96.3563,119.0,0.0,9.0,6.4326,119.0,128.0
20260623_190256,a04,PHASE_cinc2013,,,,,95.3488,100.0,97.619,123.0,0.0,6.0,5.0802,123.0,129.0
20260623_190256,a05,PHASE_cinc2013,,,,,95.3488,100.0,97.619,123.0,0.0,6.0,5.162,123.0,129.0
20260623_190256,a06,PHASE_cinc2013,,,,,31.25,45.045,36.9004,50.0,61.0,110.0,49.1368,111.0,160.0
20260623_190256,a07,PHASE_cinc2013,,,,,40.0,46.4286,42.9752,52.0,60.0,78.0,29.7904,112.0,130.0
20260623_190256,a08,PHASE_cinc2013,,,,,98.4375,98.4375,98.4375,126.0,2.0,2.0,2.9934,128.0,128.0
20260623_190256,a09,PHASE_cinc2013,,,,,23.8462,26.7241,25.2033,31.0,85.0,99.0,28.8917,116.0,130.0
20260623_190256,a10,PHASE_cinc2013,,,,,36.5714,49.2308,41.9672,64.0,66.0,111.0,47.2386,130.0,175.0
20260623_190256,a11,PHASE_cinc2013,,,,,19.2857,30.6818,23.6842,27.0,61.0,113.0,47.6359,88.0,140.0
20260623_190256,a12,PHASE_cinc2013,,,,,95.6522,99.2481,97.417,132.0,1.0,6.0,4.1496,133.0,138.0
20260623_190256,a13,PHASE_cinc2013,,,,,92.8571,97.5,95.122,117.0,3.0,9.0,5.4134,120.0,126.0
20260623_190256,a14,PHASE_cinc2013,,,,,90.2439,96.5217,93.2773,111.0,4.0,12.0,8.7678,115.0,123.0
20260623_190256,a15,PHASE_cinc2013,,,,,98.5075,100.0,99.2481,132.0,0.0,2.0,2.222,132.0,134.0
20260623_190256,a16,PHASE_cinc2013,,,,,14.6154,17.2727,15.8333,19.0,91.0,111.0,33.4383,110.0,130.0
20260623_190256,a17,PHASE_cinc2013,,,,,99.2424,99.2424,99.2424,131.0,1.0,1.0,1.454,132.0,132.0
20260623_190256,a18,PHASE_cinc2013,,,,,15.3333,20.7207,17.6245,23.0,88.0,127.0,39.6802,111.0,150.0
20260623_190256,a19,PHASE_cinc2013,,,,,94.4882,100.0,97.166,120.0,0.0,7.0,5.7479,120.0,127.0
20260623_190256,a20,PHASE_cinc2013,,,,,90.8397,96.748,93.7008,119.0,4.0,12.0,7.9603,123.0,131.0
20260623_190256,a21,PHASE_cinc2013,,,,,37.931,44.0,40.7407,55.0,70.0,90.0,30.19,125.0,145.0
20260623_190256,a22,PHASE_cinc2013,,,,,100.0,100.0,100.0,126.0,0.0,0.0,0.9635,126.0,126.0
20260623_190256,a23,PHASE_cinc2013,,,,,96.0317,99.1803,97.5806,121.0,1.0,5.0,3.8608,122.0,126.0
20260623_190256,a24,PHASE_cinc2013,,,,,98.374,100.0,99.1803,121.0,0.0,2.0,2.6372,121.0,123.0
20260623_190256,a25,PHASE_cinc2013,,,,,92.0,99.1379,95.4357,115.0,1.0,10.0,6.7331,116.0,125.0
20260623_190256,a26,PHASE_cinc2013,,,,,98.5507,97.8417,98.1949,136.0,3.0,2.0,2.1591,139.0,138.0
20260623_190256,a27,PHASE_cinc2013,,,,,79.2593,81.0606,80.1498,107.0,25.0,28.0,12.0381,132.0,135.0
20260623_190256,a28,PHASE_cinc2013,,,,,88.6228,99.3289,93.6709,148.0,1.0,19.0,14.4588,149.0,167.0
