timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260625_120231,a01,PHASE_cinc2013,,,,,95.8621,96.5278,96.1938,139.0,5.0,6.0,2.8566,144.0,145.0
20260625_120231,a02,PHASE_cinc2013,,,,,21.25,26.9841,23.7762,34.0,92.0,126.0,34.8876,126.0,160.0
20260625_120231,a03,PHASE_cinc2013,,,,,92.9687,100.0,96.3563,119.0,0.0,9.0,6.4326,119.0,128.0
20260625_120231,a04,PHASE_cinc2013,,,,,95.3488,100.0,97.619,123.0,0.0,6.0,5.0802,123.0,129.0
20260625_120231,a05,PHASE_cinc2013,,,,,95.3488,100.0,97.619,123.0,0.0,6.0,5.162,123.0,129.0
20260625_120231,a06,PHASE_cinc2013,,,,,58.125,69.9248,63.4812,93.0,40.0,67.0,28.7155,133.0,160.0
20260625_120231,a07,PHASE_cinc2013,,,,,40.0,46.4286,42.9752,52.0,60.0,78.0,29.7904,112.0,130.0
20260625_120231,a08,PHASE_cinc2013,,,,,98.4375,98.4375,98.4375,126.0,2.0,2.0,3.1093,128.0,128.0
20260625_120231,a09,PHASE_cinc2013,,,,,26.9231,32.4074,29.4118,35.0,73.0,95.0,33.3009,108.0,130.0
20260625_120231,a10,PHASE_cinc2013,,,,,70.2857,82.0,75.6923,123.0,27.0,52.0,23.1368,150.0,175.0
20260625_120231,a11,PHASE_cinc2013,,,,,21.4286,31.9149,25.641,30.0,64.0,110.0,42.7454,94.0,140.0
20260625_120231,a12,PHASE_cinc2013,,,,,95.6522,99.2481,97.417,132.0,1.0,6.0,4.1496,133.0,138.0
20260625_120231,a13,PHASE_cinc2013,,,,,92.8571,97.5,95.122,117.0,3.0,9.0,5.4134,120.0,126.0
20260625_120231,a14,PHASE_cinc2013,,,,,90.2439,96.5217,93.2773,111.0,4.0,12.0,8.7678,115.0,123.0
20260625_120231,a15,PHASE_cinc2013,,,,,98.5075,100.0,99.2481,132.0,0.0,2.0,2.222,132.0,134.0
20260625_120231,a16,PHASE_cinc2013,,,,,16.9231,21.7822,19.0476,22.0,79.0,108.0,34.8414,101.0,130.0
20260625_120231,a17,PHASE_cinc2013,,,,,99.2424,99.2424,99.2424,131.0,1.0,1.0,1.454,132.0,132.0
20260625_120231,a18,PHASE_cinc2013,,,,,15.3333,20.7207,17.6245,23.0,88.0,127.0,39.6802,111.0,150.0
20260625_120231,a19,PHASE_cinc2013,,,,,94.4882,100.0,97.166,120.0,0.0,7.0,5.7479,120.0,127.0
20260625_120231,a20,PHASE_cinc2013,,,,,90.8397,96.748,93.7008,119.0,4.0,12.0,7.9603,123.0,131.0
20260625_120231,a21,PHASE_cinc2013,,,,,76.5517,79.2857,77.8947,111.0,29.0,34.0,13.1587,140.0,145.0
20260625_120231,a22,PHASE_cinc2013,,,,,100.0,100.0,100.0,126.0,0.0,0.0,0.9635,126.0,126.0
