recording,F1_median,F1_svd,CC_median,CC_svd,chosen_path_median,chosen_path_svd
a63,99.63898916460323,99.63898916460323,nan,nan,C_TemplateSub_ICA3_IC3_139bpm,C_TemplateSub_ICA3_IC3_139bpm
a64,99.26470587727995,99.26470587727995,nan,nan,C_TemplateSub_ICA3_IC3_136bpm,C_TemplateSub_ICA3_IC1_136bpm
a65,99.99999999493056,99.99999999493056,nan,nan,C_TemplateSub_ICA3_IC3_145bpm,C_TemplateSub_ICA3_IC3_145bpm
a66,26.11940298005959,27.509293675282542,nan,nan,A_ICA1_direct_IC4_145bpm,C_TemplateSub_ICA3_IC1_146bpm
a67,99.02280129786715,99.02280129786715,nan,nan,C_TemplateSub_ICA3_IC2_154bpm,C_TemplateSub_ICA3_IC1_154bpm
a68,99.64157705586054,99.64157705586054,nan,nan,C_TemplateSub_ICA3_IC1_141bpm,C_TemplateSub_ICA3_IC3_141bpm
a69,99.99999999493289,99.99999999493289,nan,nan,C_TemplateSub_ICA3_IC3_149bpm,C_TemplateSub_ICA3_IC3_149bpm
a70,99.29078013677356,99.29078013677356,nan,nan,C_TemplateSub_ICA3_IC3_141bpm,C_TemplateSub_ICA3_IC2_141bpm
a71,59.863945573198905,58.50340135551275,nan,nan,C_TemplateSub_ICA3_IC1_147bpm,C_TemplateSub_ICA3_IC1_147bpm
a72,98.19277107927837,98.19277107927837,nan,nan,C_TemplateSub_ICA3_IC2_165bpm,C_TemplateSub_ICA3_IC2_165bpm
a73,93.90681003077506,92.8057553906167,nan,nan,C_TemplateSub_ICA3_IC2_141bpm,C_TemplateSub_ICA3_IC1_140bpm
a74,87.05035970716786,90.97472923681217,nan,nan,C_TemplateSub_ICA3_IC4_140bpm,C_TemplateSub_ICA3_IC3_139bpm
a75,98.50746268149366,98.50746268149366,nan,nan,C_TemplateSub_ICA3_IC1_134bpm,C_TemplateSub_ICA3_IC1_134bpm
