timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260625_104042,r01,PHASE_adfecgdb,0.1604,98.1704,14.4428,0.3034,90.8385,96.0591,93.3759,585.0,24.0,59.0,7.2795,609.0,644.0
20260625_104042,r04,PHASE_adfecgdb,-0.0054,100.0626,25.4362,0.0037,89.557,99.2982,94.1764,566.0,4.0,66.0,9.1673,570.0,632.0
20260625_104042,r07,PHASE_adfecgdb,0.0083,99.905,27.5514,0.0443,93.3014,98.1544,95.6664,585.0,11.0,42.0,5.741,596.0,627.0
20260625_104042,r08,PHASE_adfecgdb,0.0985,98.8725,24.3348,0.2991,97.0814,97.9845,97.5309,632.0,13.0,19.0,2.9486,645.0,651.0
20260625_104042,r10,PHASE_adfecgdb,0.0568,99.3479,28.9986,0.2086,83.9874,92.0826,87.8489,535.0,46.0,102.0,14.899,581.0,637.0
