timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260521_072538,r01,PHASE-ENS-WEIGHTED,0.1457,98.3364,14.4672,0.2842,94.4099,95.748,95.0743,608.0,27.0,36.0,4.3343,635.0,644.0
20260521_072538,r04,PHASE-ENS-WEIGHTED,0.0061,99.9301,25.4026,0.0388,44.6203,50.9025,47.5548,282.0,272.0,350.0,24.3461,554.0,632.0
20260521_072538,r07,PHASE-ENS-WEIGHTED,0.0148,99.8299,27.5307,0.0841,60.7656,64.7959,62.716,381.0,207.0,246.0,19.114,588.0,627.0
20260521_072538,r08,PHASE-ENS-WEIGHTED,0.1014,98.8392,24.3266,0.3099,98.4639,98.6154,98.5396,641.0,9.0,10.0,2.3018,650.0,651.0
20260521_072538,r10,PHASE-ENS-WEIGHTED,0.0492,99.4349,29.024,0.2158,87.7551,94.2664,90.8943,559.0,34.0,78.0,13.382,593.0,637.0
