timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260617_155421,r01,PHASE_adfecgdb,0.1665,98.1008,14.4326,0.3135,88.6646,92.9967,90.779,571.0,43.0,73.0,8.0052,614.0,644.0
20260617_155421,r04,PHASE_adfecgdb,-0.0056,100.0643,25.4367,0.0032,87.8165,98.579,92.887,555.0,8.0,77.0,10.1899,563.0,632.0
20260617_155421,r07,PHASE_adfecgdb,0.011,99.8732,27.5427,0.0531,92.3445,99.3139,95.7025,579.0,4.0,48.0,6.6858,583.0,627.0
20260617_155421,r08,PHASE_adfecgdb,0.1322,98.4896,24.2406,0.3937,94.47,99.6759,97.0032,615.0,2.0,36.0,5.7002,617.0,651.0
20260617_155421,r10,PHASE_adfecgdb,0.0644,99.2612,28.9733,0.2347,84.9294,92.7959,88.6885,541.0,42.0,96.0,14.7505,583.0,637.0
