timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,waveform_lag_samples
20260618_165932,r01,PHASE_adfecgdb,0.5795,93.5456,13.7627,0.3534,92.8571,99.0066,95.8333,598.0,6.0,46.0,6.8448,604.0,644.0,19.0
20260618_165932,r04,PHASE_adfecgdb,0.1295,98.5205,25.045,0.1714,88.1329,98.5841,93.066,557.0,8.0,75.0,9.9654,565.0,632.0,20.0
20260618_165932,r07,PHASE_adfecgdb,0.2479,97.1859,26.8024,0.2356,92.504,99.3151,95.7886,580.0,4.0,47.0,6.7506,584.0,627.0,20.0
20260618_165932,r08,PHASE_adfecgdb,0.4517,94.9322,23.3651,0.3143,97.0814,97.9845,97.5309,632.0,13.0,19.0,2.9492,645.0,651.0,2.0
20260618_165932,r10,PHASE_adfecgdb,0.2663,96.9809,28.3078,0.2439,85.2433,92.8205,88.8707,543.0,42.0,94.0,14.2734,585.0,637.0,3.0
