timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference,mean_fhr_bpm,std_fhr_bpm,pct_in_range,pct_smooth,fhr_plausible,SNR_before_dB,SNR_after_dB,delta_SNR_dB
20260423_202020,r01,PHASE_adfecgdb,0.1595,98.1809,14.4444,0.3019,91.9255,96.5742,94.1925,592.0,21.0,52.0,6.9416,613.0,644.0,125.92,16.92,92.97,85.92,1.0,3.5501,0.2884,-3.2617
20260423_202020,r04,PHASE_adfecgdb,-0.0057,100.0656,25.437,0.0029,87.8165,99.1071,93.1208,555.0,5.0,77.0,10.5411,560.0,632.0,119.38,23.09,87.66,75.27,1.0,2.7557,-2.0751,-4.8308
20260423_202020,r07,PHASE_adfecgdb,0.0082,99.9052,27.5515,0.0443,92.185,98.9726,95.4583,578.0,6.0,49.0,6.8136,584.0,627.0,120.94,17.01,92.45,83.68,1.0,1.6146,-4.8291,-6.4437
20260423_202020,r08,PHASE_adfecgdb,0.0894,98.9762,24.3604,0.2735,96.3134,97.8159,97.0588,627.0,14.0,24.0,3.6712,641.0,651.0,129.63,12.25,97.03,94.84,1.0,2.8451,-1.1147,-3.9598
20260423_202020,r10,PHASE_adfecgdb,0.0716,99.1796,28.9495,0.2583,86.4992,94.6735,90.402,551.0,31.0,86.0,13.868,582.0,637.0,123.61,24.1,86.4,74.14,1.0,1.2897,-6.8316,-8.1213
